datetime,activity window,fps,jank
2024-01-18 19-39-21,,0,0
2024-01-18 19-39-27,,0,0
2024-01-18 19-39-32,,0,0
2024-01-18 19-39-37,,0,0
2024-01-18 19-39-42,,0,0
2024-01-18 19-39-47,,0,0
2024-01-18 19-39-52,,0,0
2024-01-18 19-39-57,,0,0
2024-01-18 19-40-02,,0,0
2024-01-18 19-40-07,,0,0
2024-01-18 19-40-12,,0,0
2024-01-18 19-40-17,,0,0
2024-01-18 19-40-22,,0,0
2024-01-18 19-40-27,,0,0
2024-01-18 19-40-32,,0,0
2024-01-18 19-40-37,,0,0
2024-01-18 19-40-42,,0,0
2024-01-18 19-40-47,,0,0
2024-01-18 19-40-52,,0,0
2024-01-18 19-40-57,,0,0
2024-01-18 19-41-02,,0,0
2024-01-18 19-41-07,,0,0
2024-01-18 19-41-12,,0,0
2024-01-18 19-41-17,,0,0
2024-01-18 19-41-22,,0,0
2024-01-18 19-41-27,,0,0
2024-01-18 19-41-32,,0,0
2024-01-18 19-41-37,,0,0
2024-01-18 19-41-42,,0,0
2024-01-18 19-41-47,,0,0
2024-01-18 19-41-52,,0,0
2024-01-18 19-41-57,,0,0
2024-01-18 19-42-02,,0,0
2024-01-18 19-42-07,,0,0
2024-01-18 19-42-12,,0,0
2024-01-18 19-42-17,,0,0
2024-01-18 19-42-22,,0,0
2024-01-18 19-42-27,,0,0
2024-01-18 19-42-32,,0,0
2024-01-18 19-42-37,,0,0
2024-01-18 19-42-42,,0,0
2024-01-18 19-42-47,,0,0
2024-01-18 19-42-52,,0,0
2024-01-18 19-42-57,,0,0
2024-01-18 19-43-02,,0,0
2024-01-18 19-43-07,,0,0
2024-01-18 19-43-12,,0,0
2024-01-18 19-43-17,,0,0
2024-01-18 19-43-22,,0,0
2024-01-18 19-43-27,,0,0
2024-01-18 19-43-32,,0,0
2024-01-18 19-43-37,,0,0
2024-01-18 19-43-42,,0,0
2024-01-18 19-43-47,,0,0
2024-01-18 19-43-52,,0,0
2024-01-18 19-43-57,,0,0
2024-01-18 19-44-02,,0,0
2024-01-18 19-44-07,,0,0
2024-01-18 19-44-12,,0,0
2024-01-18 19-44-17,,0,0
2024-01-18 19-44-22,,0,0
2024-01-18 19-44-27,,0,0
2024-01-18 19-44-32,,0,0
2024-01-18 19-44-37,,0,0
2024-01-18 19-44-42,,0,0
2024-01-18 19-44-47,,0,0
2024-01-18 19-44-52,,0,0
